Username,Solana_Address
Raya X,BHWTzEP3QcCemQQeA8xHSMvi5HdKNJLCS9KXypnPwadM
aldi Siag,5DvP8Ha8fAXMvvZnaAeCQ28e93nW9pHsbZVYSjVH47mk
Lukman Triono 🍅▪️🐾🐐 (duplicate),85QfD1E7z3WjnWuvZEtAUoBsFktRYTYC68k1QxL3hxbu
Mahnod 🌱SEED 🍅 🐾 Ⓜ️ MEMES,GCHNwHAcnWFjUwQRsWv11Yh4HQhsKmvodFcex4g7JpYh
Veyz™🐾| Drops💧 ▪️🌱SEED,9pLdFF9bqmy7r7n6pHT54aH2zvpbFzFPwQvvu1FV6qai
SUPER GEMBULLL,3AxMHqDKWB3wUJjgV6mGqfDVwQqdQ1c8ShZSYnsPyeM3
. 🌱SEED 🐾 BabyDoge PAWS || INSYALLAH JP💠 🍅▪️🐾 🍋 | Drops💧,szrXJ1CMaiZ9LSbxCky85MQzbCqpK3TKdqxRB61UTWH
REZZA(❤️TravelFrog🐸)...,8njWxPKGXhdHGAQPYYJW7EBk9GZTdtG1WddZHrLKmG2Q
You call me bek 🥔,EXtgJk4YpZTSMhX4PpPdFGMHFn432BA9unjzKeomQRmY
ᴊᴀᴄᴋ | SANG SANNIN 🐦 SUI 🐾 🌱SEED | Drops💧,CWnmhzCwMipJwCa88xp6SmGtarhiZeEf7cC9qMHBp2hP
Miscella $VROG Drops💧🌱SEED 🐾 ▪️,8pJrbY5Ex4wSMpM36uuZLs59UjeuauqP1Zb4NsjD3qxd
Kojojago02™🐾🌱SEED ▪️,1HL1zCPe2Jm3MPwVJh3nD1o3zDb8HwbVqfQzgbmpRft
JODS | Drops💧 🌱SEED,5xHy2nWzQ9EASHPCNsvjDtm7GYEgxovEjNLAttF41KMj
Zyaa | Cryptokom.Oxyz,Fr6EzawMqUgGohDNdozmWWHczqHQhUdzuf27eJcosXWn
optx208 🌱SEED,BzVg87euocCbaVjRwmXhfkmAaRpEDGGjLmiR7s34icmW
Rizky Dani 🐾| Drops💧,A8dMHadFgLaeRbyWmoKCetiiReFBTcV4AhuPCatcj1PX
Papi Chulo 🐾,2DCMVtpkV8r7dP2RaLrGxDdkCU58vGFod2s7Bv6GEPzA
demonshunt,BLJDwP4rdKrFdcW7UtUB97cCgeKkTy82S8ix9sQEuKt1
jumbaliali (again),6uLayS3spCvv8cem3V7f7dui8gqcosZauHdUuo2imGck
Nurkholik | Drops💧🍅,BS1oWRQF58CbmhqnNSgSMdxs8rzhoLaejshqXD5A1hBo
VennXD 🐾| Drops💧,JBwP8j3DhxmJh97hB6KUWdyYuRw8uHoYGnhefxxjMB3g
Rece Shang🌱SEED🍅🍋🧑🏻‍💻,63aZJQM2BjWNNjM8bLGwLb9dacNCSDuoyPGMZg1c2g8t
𝙏𝙖𝙣𝙖𝙯𝙪 𝕏▪️| Drops💧,FBrgk1GTPQuHbSNhCjaGFD73KUmGBFigA3kHBBsa1k6z
Rizky Dani 🐾| Drops💧 (again),DfHUJrfEHaYg7Y4nBPjxQQSYL5AFzZthsnygsWizj2vF
Angel (2),B5fWxVAhNqSd89KKfv8U1y6LJ5tSUbXCNWYwHrgEJkUL
alfin▪️🐾 ramadan,6b8yWKrMXwbmah3fmuZXDyw7zKwAZQp3dDHi2HESC4qR
obengasep581▪️🐾,8rYgSZsASHuUC2FqovwjtBQ4T2u1mDRzBwBejzcctHMB
(No username),GLqpWKrFp1c1uE615wWru76z3cmgPvigjeRStc22rr4P
WARR🐾| Drops💧$SOLCLAIM Roomm,HatucnCy3j6dyC4RA5HbMP792DgSvxzku9oGhYqfJaD8
Ari 🐾,42TdXD1XpocMPq11RpM3owwJ2QPzsDQkvwmxBoJjMRfy
pastijp🦴| Drops💧🐸| $EMOJI,CPMu1p6aHudH1J42Z3gM3dHWw6o9GQBMf1d4UjAwZaoS
markonah🌱SEED | Drops💧,AUFCPYwC5m61MZZovafD2Na89EpYq33tqpFjfAYVrDuf
hantu caruluk| Drops💧🌱SEED,GWKvXz9MFXaPTW3Ay2AcqKbR6xtqKUADriXQcuptDyKu
(No username),3AfJz3TBsSr8ycdMwvCaaSSCZmAuMLAHSaLdXnu8QvhM
fallfor🐾,AFWLr851r6JZBEECsG3aTH4cofk2XRwu2zVourtm8aEA
Hakku🐾,EM4JPMsYuBpYZkULfbFZrtTcZ1XcBE686ZXpfCuiBauk
10taclesss🐾,DNy4oeSmNazpU62wKtLDRjTEbsZ4z13xot7K8Hq8fTNR
Hery Setiawan,AcFkrvt1VuX5d4iLMaS2rWkXNockPiDHe9vdV9AqwgFP
surya15🐾,7qMDFZmmhV39ZQohPqNyCLxyQzNqXUDANPQutfQeTKUh
yokosooh🐾,95BXTr45VrTYpdscivvyoA5bShaZd5m6gr2wFSN6jBFk
faiyahhhh🐾,DgYpZAgvnvR7hBJo8SpXu3uicD3nTBz9nUtv68BGRrgH
Deny Indriyana,9jaLmGvTrd5KfdpnHZFJi1aAwYq2MUMZEfEnZNB6rZBr
weniweb3🐾,GmBQJs99rHuAabcm8mhm6bueswXsrsGXWUnMYVqE6nfF
onedepok| Drops💧DUCKS 🦆 $SOLCLAIM Warr,6kDzH3UCkmNDBzjhh9HVomSehreY3grqdm8YgUQWPaT2
kiyy ▪️,cpjAqq1gFmf1Zc244gpP5E3attas2FJdNpWAoFfGFHU
